Summary
Name,"SuFEx-R1-0_5xBSF-PhOH-4-15-20.rslt"
Start time,2020 апр 15 - 16:38
End time,2020 апр 17 - 13:55
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\SuFEx-R1-0_5xBSF-PhOH-4-15-20.rslt"
General Experiment Info
Bath temperature,25°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"SuFEx-R1-0_5xBSF-PhOH","SuFEx-R1-0_5xBSF-PhOH","SuFEx-R1-0_5xBSF-PhOH"
,Component - PhOH,Component - PhOH,Component - PhOH
Mass,1.88mg,1.88mg,1.88mg
Name,"PhOH","PhOH","PhOH"
Physical shape,"Liquid","Liquid","Liquid"
,Component - DCM + 0.5xBSF + DBU,Component - DCM + 0.5xBSF + DBU,Component - DCM + 0.5xBSF + DBU
Name,"DCM + 0.5xBSF + DBU","DCM + 0.5xBSF + DBU","DCM + 0.5xBSF + DBU"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Room Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers"
-2869.29001331329,NaN,NaN,NaN,NaN,NaN,NaN,25.000001374005,25.0000013408872,""
-2869.19149494171,25.0000006412661,NaN,NaN,NaN,NaN,NaN,25.0000013721625,25.0000013390549,""
-2868.92779493332,25.0000006327807,-6.10827029172082E-10,NaN,-7.63533786465102E-10,NaN,NaN,25.0000013672307,25.0000013341504,""
-2859.30869483948,25.0000003232567,-7.57237061146712E-10,NaN,-9.4654632643339E-10,NaN,27.1208923187624,25.0000011873295,25.000001155247,""
-2842.1272778511,24.999999770392,-1.01875131779195E-09,NaN,-1.27343914723994E-09,NaN,27.1473667580794,25.0000008659941,25.0000008356938,""
-2828.54686117172,24.9999998330894,-8.96163593631298E-10,NaN,-1.12020449203912E-09,NaN,27.1792438916272,25.0000004235459,25.0000003902304,""
-2814.96454238892,24.9999998994886,-7.64505737261104E-10,NaN,-9.55632171576379E-10,NaN,27.2414792204043,24.9999999810358,24.9999999447045,""
-2801.38412570953,25.0000000727054,2.43526081369325E-10,NaN,3.04407601711656E-10,NaN,27.3051272490726,24.9999994383216,24.9999993989076,""
-2787.80180692673,25.0000002467447,1.27586786144402E-09,NaN,1.59483482680502E-09,NaN,27.372721068336,24.9999988955313,24.9999988530342,""
-2774.22139024735,25.0000002380654,1.59880443988852E-09,NaN,1.99850554986065E-09,NaN,27.4236773678706,24.9999959199575,24.9999958792123,""
