Summary
Name,"SuFEx-R1-BSF-CH3-2-21-20.rslt"
Start time,2020 фев 21 - 7:51
End time,2020 фев 23 - 14:36
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\SuFEx-R1-BSF-CH3-2-21-20.rslt"
General Experiment Info
Bath temperature,25°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"SuFEx-R1-BSF-CH3","SuFEx-R1-BSF-CH3","SuFEx-R1-BSF-CH3"
,Component - PhOH,Component - PhOH,Component - PhOH
Mass,1.88mg,1.88mg,1.88mg
Name,"PhOH","PhOH","PhOH"
Physical shape,"Liquid","Liquid","Liquid"
,Component - DCM + BSF-CH3 + DBU,Component - DCM + BSF-CH3 + DBU,Component - DCM + BSF-CH3 + DBU
Name,"DCM + BSF-CH3 + DBU","DCM + BSF-CH3 + DBU","DCM + BSF-CH3 + DBU"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Room Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers"
-4446.02086544037,NaN,NaN,NaN,NaN,NaN,NaN,24.999754732661,24.9998316156725,""
-4446.02009415627,25.0000004037137,NaN,NaN,NaN,NaN,NaN,24.9997547327004,24.999831615712,""
-4445.25954508781,25.0000003996827,1.34058422184149E-08,NaN,7.13076713745472E-06,NaN,NaN,24.9997547715257,24.9998316546405,""
-4438.36014533043,25.0000003631151,1.36742595056112E-08,NaN,7.27354229021871E-06,NaN,29.0294626906709,24.9997551237331,24.9998320077848,""
-4413.17199635506,25.0000002296151,1.46541903481788E-08,NaN,7.79478210009512E-06,NaN,28.9550200380419,24.9997564095627,24.9998332970348,""
-4396.74766302109,24.9999999858375,1.65479062291298E-08,NaN,8.80207778145201E-06,NaN,28.9382473757199,24.9997599178995,24.9998368052936,""
-4380.32312726974,24.9999997420349,1.85027432336047E-08,NaN,9.8418846987259E-06,NaN,28.9492442449286,24.9997634262795,24.9998403135955,""
-4363.89879393578,24.9999997496366,2.00846849289852E-08,NaN,1.06833430473325E-05,NaN,28.9812467315217,24.9997669139186,24.9998438004369,""
-4347.47425818443,24.9999997572975,2.16484572298964E-08,NaN,1.1515136824413E-05,NaN,29.03161021743,24.9997704016007,24.9998472873212,""
-4331.04992485046,24.9999999587438,2.35134043471032E-08,NaN,1.25071299718634E-05,NaN,29.0614002224616,24.9997720910744,24.9998489691745,""
